Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778880087,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778880088,15,,Aggregated,0.000000,0.000000,140,170,230,300,360,420,420,420,420,420,420,14,0,140.0,190.99535207143552,120.08477500012305,419.4987650002986,31820.0
1778880089,30,,Aggregated,0.000000,0.000000,140,160,160,170,300,360,420,420,420,420,420,30,0,130.0,163.40583949997077,111.06222100033847,419.4987650002986,31820.0
1778880090,45,,Aggregated,11.000000,0.000000,170,200,220,220,250,300,360,420,420,420,420,52,0,170.0,182.36091198076127,111.06222100033847,419.4987650002986,31820.0
1778880091,60,,Aggregated,13.000000,0.000000,210,250,360,440,570,670,790,870,870,870,870,80,0,210.0,280.1278910749943,111.06222100033847,874.6502679996411,31820.0
1778880092,75,,Aggregated,15.666667,0.000000,250,290,330,360,550,670,760,790,870,870,870,108,0,240.0,286.2912229073926,111.06222100033847,874.6502679996411,31820.0
1778880093,89,,Aggregated,18.500000,0.000000,290,420,490,510,560,670,870,1900,1900,1900,1900,143,0,290.0,355.5139827762123,111.06222100033847,1892.739243000051,31820.0
1778880094,104,,Aggregated,18.500000,0.000000,330,440,490,500,550,670,790,1900,1900,1900,1900,156,0,310.0,364.92169328203784,111.06222100033847,1892.739243000051,31820.0
1778880095,119,,Aggregated,22.500000,0.000000,440,520,570,750,1300,1500,1800,1900,3800,3800,3800,203,0,440.0,561.9899491576341,111.06222100033847,3810.9992890003923,31820.0
1778880096,132,,Aggregated,22.285714,0.000000,460,540,670,1000,1300,1500,1800,1900,3800,3800,3800,215,0,460.0,597.899268032553,111.06222100033847,3810.9992890003923,31820.0
1778880097,147,,Aggregated,24.625000,0.000000,500,670,1100,1300,1400,1600,1900,3100,3800,3800,3800,244,0,500.0,700.1812310532733,111.06222100033847,3810.9992890003923,31820.0
1778880098,162,,Aggregated,23.111111,0.000000,510,970,1200,1300,1600,3600,3800,4000,4200,4200,4200,257,0,510.0,856.9852517354087,111.06222100033847,4165.719425000134,31820.0
1778880099,177,,Aggregated,23.111111,0.000000,510,1000,1200,1400,1700,3700,3900,4000,4400,4400,4400,258,0,510.0,870.7665015930219,111.06222100033847,4412.547714999619,31820.0
1778880100,191,,Aggregated,24.500000,0.000000,550,1200,1400,1700,3600,3900,4500,5500,6100,6100,6100,291,0,550.0,1181.1258944948493,111.06222100033847,6110.54035799998,31820.0
1778880101,205,,Aggregated,23.200000,0.000000,1200,2500,3300,3700,4300,4900,6300,6400,6700,6700,6700,372,0,1200.0,1819.6129245537659,111.06222100033847,6668.707899999845,31820.0
1778880103,218,,Aggregated,23.200000,0.000000,1200,2500,3300,3700,4300,4900,6300,6400,6700,6700,6700,372,0,1200.0,1819.6129245537659,111.06222100033847,6668.707899999845,31820.0
1778880104,231,,Aggregated,23.200000,0.000000,1200,2500,3300,3700,4300,4900,6300,6400,6700,6700,6700,372,0,1200.0,1819.6129245537659,111.06222100033847,6668.707899999845,31820.0
1778880105,246,,Aggregated,23.700000,0.000000,1200,2500,3300,3700,4300,4900,6300,6400,7500,7500,7500,373,0,1200.0,1834.781555994641,111.06222100033847,7477.5124520001555,31820.0
1778880106,261,,Aggregated,23.700000,0.000000,1200,2500,3300,3700,4300,4900,6300,6400,7500,7500,7500,373,0,1200.0,1834.781555994641,111.06222100033847,7477.5124520001555,31820.0
1778880107,275,,Aggregated,23.700000,0.000000,1200,2500,3300,3700,4300,4900,6300,6400,7500,7500,7500,373,0,1200.0,1834.781555994641,111.06222100033847,7477.5124520001555,31820.0
1778880109,290,,Aggregated,16.500000,0.000000,1200,2500,3400,3700,4400,4900,6300,6500,8900,8900,8900,374,0,1200.0,1853.627708606955,111.06222100033847,8883.242633000009,31820.0
1778880110,304,,Aggregated,11.700000,0.000000,1900,3900,5100,7400,9000,11000,11000,11000,12000,12000,12000,476,0,1800.0,3403.5141320735233,111.06222100033847,11815.884511999684,31820.0
1778880111,318,,Aggregated,11.600000,0.000000,3300,5200,7300,7800,10000,11000,12000,12000,12000,12000,12000,545,0,3300.0,4090.569429339448,111.06222100033847,12262.814807999803,31820.0
1778880112,333,,Aggregated,20.500000,0.000000,3500,6600,7400,7900,10000,11000,12000,12000,12000,12000,12000,571,0,3500.0,4259.471274817864,111.06222100033847,12262.814807999803,31820.0
1778880114,347,,Aggregated,17.300000,0.000000,3500,6600,7500,7900,10000,11000,12000,12000,12000,12000,12000,572,0,3500.0,4269.550641645105,111.06222100033847,12262.814807999803,31820.0
1778880115,350,,Aggregated,17.300000,0.000000,3500,6600,7500,7900,10000,11000,12000,12000,12000,12000,12000,572,0,3500.0,4269.550641645105,111.06222100033847,12262.814807999803,31820.0
1778880116,350,,Aggregated,20.000000,0.000000,3500,6600,7500,8000,10000,11000,12000,12000,12000,12000,12000,573,0,3500.0,4283.477896026179,111.06222100033847,12262.814807999803,31820.0
1778880117,350,,Aggregated,20.000000,0.000000,4000,7000,7500,8100,11000,12000,13000,14000,14000,14000,14000,643,0,4000.0,4711.902915158633,111.06222100033847,14015.310845000386,31820.0
1778880118,350,,Aggregated,19.900000,0.000000,6000,7300,7900,8600,11000,13000,14000,14000,15000,15000,15000,769,0,6000.0,5451.416674648897,111.06222100033847,14850.638335999975,31820.0
1778880120,350,,Aggregated,20.000000,0.000000,6100,7300,8000,8600,11000,13000,14000,14000,15000,15000,15000,772,0,6000.0,5468.505578330314,111.06222100033847,15193.191777000266,31820.0
1778880121,350,,Aggregated,20.000000,0.000000,6100,7300,8000,8600,11000,13000,14000,14000,15000,15000,15000,772,0,6000.0,5468.505578330314,111.06222100033847,15193.191777000266,31820.0
1778880122,350,,Aggregated,20.000000,0.000000,6100,7300,8000,8600,11000,13000,14000,14000,15000,15000,15000,772,0,6000.0,5468.505578330314,111.06222100033847,15193.191777000266,31820.0
1778880123,350,,Aggregated,20.000000,0.000000,6100,7300,8000,8600,11000,13000,14000,14000,15000,15000,15000,772,0,6000.0,5468.505578330314,111.06222100033847,15193.191777000266,31820.0
1778880124,350,,Aggregated,20.000000,0.000000,6100,7300,8000,8600,11000,13000,14000,14000,15000,15000,15000,772,0,6000.0,5468.505578330314,111.06222100033847,15193.191777000266,31820.0
1778880125,350,,Aggregated,20.000000,0.000000,6100,7300,8000,8600,11000,13000,14000,14000,15000,15000,15000,772,0,6000.0,5468.505578330314,111.06222100033847,15193.191777000266,31820.0
1778880126,350,,Aggregated,20.000000,0.000000,6100,7300,7900,8600,11000,13000,14000,14000,15000,15000,15000,773,0,6100.0,5469.987414323419,111.06222100033847,15193.191777000266,31820.0
1778880127,350,,Aggregated,20.000000,0.000000,7100,7900,9700,11000,13000,14000,18000,19000,20000,20000,20000,960,0,7100.0,6713.208420933341,111.06222100033847,20195.813427999838,31820.0
1778880128,350,,Aggregated,20.000000,0.000000,7100,8000,9800,11000,13000,14000,19000,19000,20000,20000,20000,970,0,7100.0,6783.100914848461,111.06222100033847,20334.395636999943,31820.0
1778880129,350,,Aggregated,30.100000,0.000000,7100,8000,9800,11000,13000,14000,19000,19000,20000,20000,20000,972,0,7100.0,6785.433296857003,111.06222100033847,20334.395636999943,31820.0
1778880130,350,,Aggregated,30.100000,0.000000,7100,8000,9800,11000,13000,14000,19000,19000,20000,20000,20000,972,0,7100.0,6785.433296857003,111.06222100033847,20334.395636999943,31820.0
1778880131,350,,Aggregated,30.100000,0.000000,7100,8000,9800,11000,13000,14000,19000,19000,20000,20000,20000,972,0,7100.0,6785.433296857003,111.06222100033847,20334.395636999943,31820.0
1778880132,350,,Aggregated,30.100000,0.000000,7100,8000,9800,11000,13000,14000,19000,19000,20000,20000,20000,972,0,7100.0,6785.433296857003,111.06222100033847,20334.395636999943,31820.0
1778880135,350,,Aggregated,20.000000,0.000000,7100,8000,10000,12000,13000,14000,19000,20000,21000,21000,21000,979,0,7100.0,6821.92581701431,111.06222100033847,21388.920668000083,31820.0
1778880136,350,,Aggregated,20.000000,0.000000,7400,8400,12000,13000,15000,16000,20000,22000,22000,22000,22000,1121,0,7400.0,7689.275031333643,111.06222100033847,22405.927580000025,31820.0
1778880137,350,,Aggregated,20.000000,0.000000,7500,8700,12000,13000,16000,18000,22000,22000,23000,23000,23000,1172,0,7500.0,7990.9113275793625,111.06222100033847,22809.05371800054,31820.0
1778880139,350,,Aggregated,20.000000,0.000000,7500,8700,12000,13000,16000,18000,22000,22000,23000,23000,23000,1172,0,7500.0,7990.9113275793625,111.06222100033847,22809.05371800054,31820.0
1778880140,350,,Aggregated,20.000000,0.000000,7500,8700,12000,13000,16000,18000,22000,22000,23000,23000,23000,1172,0,7500.0,7990.9113275793625,111.06222100033847,22809.05371800054,31820.0
1778880141,350,,Aggregated,20.000000,0.000000,7500,8700,12000,13000,16000,18000,22000,22000,23000,23000,23000,1172,0,7500.0,7990.9113275793625,111.06222100033847,22809.05371800054,31820.0
1778880142,350,,Aggregated,20.000000,0.000000,7500,8700,12000,13000,16000,18000,22000,22000,23000,23000,23000,1172,0,7500.0,7990.9113275793625,111.06222100033847,22809.05371800054,31820.0
1778880143,350,,Aggregated,20.000000,0.000000,7500,8900,13000,13000,16000,19000,22000,22000,23000,23000,23000,1202,0,7500.0,8143.368070562407,111.06222100033847,22809.05371800054,31820.0
1778880144,350,,Aggregated,20.000000,0.000000,7600,11000,13000,14000,16000,19000,22000,23000,23000,23000,23000,1341,0,7600.0,8621.161782884423,111.06222100033847,23486.830935999933,31820.0
1778880145,350,,Aggregated,20.000000,0.000000,7600,11000,13000,15000,16000,19000,22000,23000,24000,24000,24000,1372,0,7600.0,8692.338221172015,111.06222100033847,23648.415398999532,31820.0
1778880146,350,,Aggregated,20.000000,0.000000,7600,11000,13000,15000,16000,19000,22000,23000,24000,24000,24000,1372,0,7600.0,8692.338221172015,111.06222100033847,23648.415398999532,31820.0
1778880147,350,,Aggregated,20.000000,0.000000,7600,11000,13000,15000,16000,19000,22000,23000,24000,24000,24000,1372,0,7600.0,8692.338221172015,111.06222100033847,23648.415398999532,31820.0
1778880148,350,,Aggregated,20.000000,0.000000,7600,11000,13000,15000,16000,19000,22000,23000,24000,24000,24000,1372,0,7600.0,8692.338221172015,111.06222100033847,23648.415398999532,31820.0
1778880150,350,,Aggregated,20.000000,0.000000,7600,11000,13000,15000,16000,19000,22000,23000,24000,24000,24000,1373,0,7600.0,8700.858663386747,111.06222100033847,23648.415398999532,31820.0
1778880151,350,,Aggregated,20.000000,0.000000,7700,11000,13000,14000,16000,21000,22000,23000,24000,24000,24000,1567,0,7700.0,8931.474644142958,111.06222100033847,23648.415398999532,31820.0
1778880152,350,,Aggregated,20.000000,0.000000,7700,11000,13000,14000,16000,21000,22000,23000,24000,24000,24000,1572,0,7700.0,8936.845559746193,111.06222100033847,23648.415398999532,31820.0
1778880154,350,,Aggregated,20.000000,0.000000,7700,11000,13000,14000,16000,21000,22000,23000,24000,24000,24000,1572,0,7700.0,8936.845559746193,111.06222100033847,23648.415398999532,31820.0
1778880155,350,,Aggregated,20.000000,0.000000,7700,11000,13000,14000,16000,21000,22000,23000,24000,24000,24000,1572,0,7700.0,8936.845559746193,111.06222100033847,23648.415398999532,31820.0
1778880156,350,,Aggregated,20.000000,0.000000,7700,11000,13000,14000,16000,21000,22000,23000,24000,24000,24000,1572,0,7700.0,8936.845559746193,111.06222100033847,23648.415398999532,31820.0
1778880157,350,,Aggregated,20.000000,0.000000,7700,11000,13000,14000,16000,21000,22000,23000,24000,24000,24000,1572,0,7700.0,8936.845559746193,111.06222100033847,23648.415398999532,31820.0
1778880158,350,,Aggregated,20.000000,0.000000,7700,11000,13000,14000,16000,21000,22000,23000,24000,24000,24000,1572,0,7700.0,8936.845559746193,111.06222100033847,23648.415398999532,31820.0
1778880159,350,,Aggregated,20.000000,0.000000,7800,12000,13000,14000,16000,20000,22000,23000,24000,24000,24000,1687,0,7800.0,9154.357649740969,111.06222100033847,23648.415398999532,31820.0
