Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778464972,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778464973,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778464974,157,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778464975,239,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778464976,319,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778464977,350,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778464979,350,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778464980,350,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778464981,350,,Aggregated,0.000000,0.000000,8500,8700,8700,8800,9100,9200,9300,9300,9300,9300,9300,65,0,8500.0,8527.235497507412,7868.006317999971,9312.901620998673,30963.476923076923
1778464982,350,,Aggregated,0.000000,0.000000,8300,8500,8700,8800,9100,9300,9500,9500,9700,9700,9700,147,47,8300.0,7523.013499836643,1042.3007410008722,9659.32175799935,36202.1768707483
1778464983,350,,Aggregated,0.777778,0.000000,7900,8400,8600,8700,9100,9300,9500,9900,11000,11000,11000,292,114,7900.0,6089.732324455453,664.9045980011579,11243.178646998786,61513.66438356164
1778464985,350,,Aggregated,8.500000,0.000000,7400,8300,8500,8700,9000,9200,9500,9700,11000,11000,11000,336,118,7300.0,5418.488825937438,653.052043999196,11243.178646998786,72002.78869047618
1778464986,350,,Aggregated,29.200000,11.400000,1900,7800,8300,8500,8900,9200,9500,9700,13000,13000,13000,445,213,1900.0,4425.638122532535,490.4815290010447,12877.4429770001,59044.114606741576
1778464987,350,,Aggregated,33.600000,11.800000,1600,7100,8100,8400,8800,9100,9400,9600,13000,13000,13000,529,245,1600.0,3866.3221868940714,490.4815290010447,12877.4429770001,66174.45746691871
1778464988,350,,Aggregated,41.700000,19.600000,1500,2200,7700,8200,8700,9100,9400,9500,13000,13000,13000,624,318,1500.0,3497.187279017575,490.4815290010447,12877.4429770001,62159.519230769234
1778464989,350,,Aggregated,51.900000,24.500000,1300,1800,6000,7700,8600,9000,9300,9500,13000,13000,13000,783,400,1300.0,2992.0147224112006,346.8202210005984,12877.4429770001,65289.89527458493
1778464990,350,,Aggregated,56.500000,25.900000,1200,1700,2100,7100,8500,8900,9200,9500,13000,13000,13000,874,440,1200.0,2759.699798454193,346.8202210005984,12877.4429770001,67710.82265446224
1778464992,350,,Aggregated,78.800000,40.300000,1200,1700,2300,7600,8700,9200,18000,18000,19000,19000,19000,942,468,1200.0,3122.7204199022995,346.8202210005984,18946.389395998267,66204.63269639066
1778464994,350,,Aggregated,78.800000,40.300000,1300,1800,6200,7900,8900,17000,19000,19000,20000,20000,20000,996,482,1300.0,3559.9247340531874,346.8202210005984,19617.95690800136,65167.109437751
1778464995,350,,Aggregated,84.000000,43.500000,1400,2200,7100,8200,9300,19000,20000,21000,22000,22000,22000,1087,482,1400.0,4140.22729149492,346.8202210005984,22252.755838000667,68638.67341306347
1778464997,350,,Aggregated,66.000000,36.400000,1400,2600,7700,8400,18000,20000,21000,22000,22000,23000,23000,1156,483,1400.0,4573.245842496515,346.8202210005984,22522.328785000354,70197.62456747405
